series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.5625,0.5
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.546875,0.25
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.53125,0.75
2,FIFTS,3,5,5,min-max,knn,translate,delelete_bad,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,26.645055962396423,0.671875,0.5
2,FIFTS,3,5,5,min-max,knn,translate,delelete_bad,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,26.645055962396423,0.6875,0.25
2,FIFTS,3,5,5,min-max,knn,translate,delelete_bad,3.997,0.7522246873928125,0.5049884317020646,4.201356328361239,0.13465795908322106,26.05623305506865,0.703125,0.75
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,26.645055962396423,0.640625,0.5
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,26.645055962396423,0.625,0.25
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7522246873928125,0.5049884317020646,4.201356328361239,0.13465795908322106,26.05623305506865,0.765625,0.75
2,FIFTS,3,5,5,min-max,knn,nothing,delelete_bad,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.3125,0.5
2,FIFTS,3,5,5,min-max,knn,nothing,delelete_bad,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.375,0.25
2,FIFTS,3,5,5,min-max,knn,nothing,delelete_bad,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.28125,0.75
2,FIFTS,3,5,5,min-max,knn,nothing,nothing,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.328125,0.5
2,FIFTS,3,5,5,min-max,knn,nothing,nothing,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.296875,0.25
2,FIFTS,3,5,5,min-max,knn,nothing,nothing,3.997,0.7031442280933071,0.505794956080138,4.542373903708441,0.14489369267467495,28.21300571077182,0.34375,0.75
2,FIFTS,3,5,5,min-max,uniform,translate,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.734375,0.5
2,FIFTS,3,5,5,min-max,uniform,translate,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.734375,0.25
