series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,5,mu-sigma,knn,50,0.9988789344589285,0.9983899367100969,0.14344559036867582,0.004359376243259657,1.634868193365456,8.28125
2,TVFTS,3,5,mu-sigma,knn,25,0.9994678914915613,0.999269654346693,0.0984947733703031,0.0030946771261415,1.152879114745455,4.796875
2,TVFTS,3,5,mu-sigma,knn,10,0.9996317939170053,0.9995022556323208,0.08199352939751442,0.0026230466544049117,0.9779185151326141,2.453125
2,TVFTS,3,5,mu-sigma,knn,5,0.9996165474042452,0.999483082382032,0.08367504324973558,0.0026780524681350344,0.9985234473505016,1.4375
2,TVFTS,3,5,mu-sigma,uniform,300,0.9966989562894828,0.9949311036899834,0.25737641750464174,0.006858077937198878,2.629616039931435,30.65625
2,TVFTS,3,5,mu-sigma,uniform,250,0.9967106007206978,0.9949552058311437,0.2553033357562124,0.0069833899413046545,2.644738707194513,26.578125
2,TVFTS,3,5,mu-sigma,uniform,150,0.9969486753435545,0.9963024650463371,0.2401112344253016,0.006787239382526295,2.547673897951484,17.359375
2,TVFTS,3,5,mu-sigma,uniform,100,0.9970900450559729,0.9965354584199007,0.2313297942605112,0.006173338096833046,2.334453934907458,12.203125
2,TVFTS,3,5,mu-sigma,uniform,75,0.9977186076708978,0.9970013925881861,0.20445266173991467,0.005746615911356838,2.1637977454332273,9.234375
2,TVFTS,3,5,mu-sigma,uniform,50,0.9983367332900948,0.9976377828553918,0.17449943718582175,0.004949387235082537,1.8597670548378595,6.609375
2,TVFTS,3,5,mu-sigma,uniform,25,0.999423921535443,0.9992292722938045,0.10255836234995724,0.003177434704409869,1.1800982911847173,3.796875
2,TVFTS,3,5,mu-sigma,uniform,10,0.9996290645174226,0.9994978360050898,0.08230266977854736,0.00262875462173615,0.9797737352741376,1.90625
2,TVFTS,3,5,mu-sigma,uniform,5,0.9996173256066858,0.9994845906436703,0.08358896378476377,0.0026730903775705676,0.9966248641654855,1.296875
2,TVFTS,3,5,min-max,knn,300,0.9970218319754703,0.9973670754296068,0.24739601541313289,0.0060456215523781885,2.326969376032336,40.09375
2,TVFTS,3,5,min-max,knn,250,0.9973594763597524,0.9975989991992993,0.2310519872012723,0.0056903836179973384,2.166604663900112,34.421875
2,TVFTS,3,5,min-max,knn,150,0.9980771749049353,0.9974095245821111,0.18800848276743962,0.005481288251114816,2.0514405424236166,22.21875
