series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold, deletion_count
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.5625,0.5,0
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.5625,0.25,0
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.484375,0.75,0
2,FIFTS,3,3,3,min-max,knn,nothing,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.421875,0.5,351
2,FIFTS,3,3,3,min-max,knn,nothing,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.390625,0.25,351
2,FIFTS,3,3,3,min-max,knn,nothing,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.453125,0.75,351
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.296875,0.5,0
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.359375,0.25,0
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.375,0.75,0
2,FIFTS,3,3,3,min-max,uniform,translate,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.859375,0.5,0
2,FIFTS,3,3,3,min-max,uniform,translate,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.859375,0.25,0
2,FIFTS,3,3,3,min-max,uniform,translate,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.84375,0.75,0
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.734375,0.5,0
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.828125,0.25,0
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.84375,0.75,0
2,FIFTS,3,3,3,min-max,uniform,nothing,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.828125,0.5,0
2,FIFTS,3,3,3,min-max,uniform,nothing,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.75,0.25,0
2,FIFTS,3,3,3,min-max,uniform,nothing,delete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.71875,0.75,0
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.734375,0.5,0
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.71875,0.25,0
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.9999999999999984,0.671875,0.75,0
2,FIFTS,3,5,5,mu-sigma,knn,translate,delete_bad,3.997,0.9995221473695513,0.9994723393739497,0.09341649523999374,0.0028831399714632612,1.0582707612066187,0.984375,0.5,143
2,FIFTS,3,5,5,mu-sigma,knn,translate,delete_bad,3.997,0.9995221473695513,0.9994723393739497,0.09341649523999374,0.0028831399714632612,1.0582707612066187,0.984375,0.25,143
2,FIFTS,3,5,5,mu-sigma,knn,translate,delete_bad,3.997,0.9995221473695513,0.9994723393739497,0.09341649523999374,0.0028831399714632612,1.0582707612066187,1.0625,0.75,143
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,1.060680038059972,1.109375,0.5,0
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,1.060680038059972,1.1875,0.25,0
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,1.060680038059972,1.140625,0.75,0
